timestamp,wheel_front_left,wheel_front_right,wheel_back_left,wheel_back_right
0.0,3.999999987672684,-3.9999999844813146,-3.9999999844813146,3.999999987672684
0.1,3.999999999465986,-3.9999999973069085,-3.9999999973069085,3.999999999465986
0.2,3.99999999798205,-0.29389021695337103,-0.2938902169493487,3.99999999798205
0.3,3.999999998508588,3.999999996799686,3.999999996799686,3.999999998508588
0.4,3.9999999970622184,3.999999998711605,3.999999998711605,3.9999999970622184
0.5,3.999999947855041,3.9999999968036706,3.9999999968036706,3.9999999478550405
0.6,2.36543767046671,3.999999999940902,3.999999999940902,2.3654376704671627
0.7,1.1561380839211581,3.999999999840816,3.999999999840816,1.1561380839215556
0.8,1.336804735761204,3.9999999987268313,3.9999999987268313,1.3368047357564172
0.9,1.6476717463970254,3.999999999801975,3.999999999801975,1.647671746396982
1.0,1.9020295945527108,3.9999999998609326,3.9999999998609326,1.9020295945504975
1.1,2.1036537141027383,3.9999999996936038,3.9999999996936038,2.1036537141033187
1.2,2.048081882090065,3.999999986465895,3.999999986465895,2.0480818820904454
1.3,2.003499618754699,3.999999998859938,3.999999998859939,2.003499618759518
1.4,2.0898134947107394,3.9999999916887714,3.9999999916887714,2.089813494711268
1.5,2.2387836936361807,3.8374484389294174,3.837448438859129,2.238783693689486
1.6,2.421016017215665,3.6083649249745466,3.608364924930927,2.4210160172452926
1.7,2.5977139659012516,3.409018937832317,3.4090189378242823,2.5977139659075372
1.8,2.754543209671312,3.2483602102282574,3.2483602102220632,2.7545432096754787
1.9,2.8813996033602716,3.1342629916194418,3.1342629916278972,2.881399603353028
2.0,2.984616732012892,3.0582262821893442,3.0582262821695307,2.9846167320248727
2.1,3.065863387155675,3.016422725195405,3.016422725155646,3.065863387182681
2.2,3.1281923042606463,3.003241632139849,3.003241632140184,3.12819230425724
2.3,3.1750986597263884,3.012217776385576,3.0122177763761377,3.175098659735683
2.4,3.2100780251140826,3.0369044480964806,3.0369044481020335,3.2100780251113767
2.5,3.236239353169794,3.071420429096327,3.071420429092194,3.2362393531611326
2.6,3.256150272287467,3.1108433960514277,3.110843396042051,3.2561502722982345
2.7,3.27173978099755,3.151328210030948,3.151328210021315,3.2717397810036766
2.8,3.284324313397872,3.1900998683909667,3.190099868387198,3.2843243134051083
2.9,3.2946429629489313,3.2253063788076144,3.2253063788147966,3.294642962947066
3.0,3.303038730331379,3.2558475894235714,3.255847589455177,3.3030387303262283
3.1,3.3094985113199487,3.281163948599493,3.2811639486044903,3.3094985113250757
3.2,3.313851066392175,3.3010776430488193,3.301077643027519,3.3138510664232594
3.3,3.3157652335331114,3.3156069525364873,3.3156069525189014,3.315765233534473
3.4,3.3149474085979302,3.3249354737998837,3.3249354737635435,3.3149474086120576
3.5,3.3110808044263313,3.3292474601828834,3.329247460201402,3.3110808044121636
3.6,3.3039084138008348,3.328760027273548,3.3287600272908002,3.3039084137885912
3.7,3.293437549144142,3.3234305727794755,3.32343057277671,3.293437549133323
3.8,3.281095473705757,3.311712192395558,3.311712192413441,3.2810954736958298
3.9,3.2639075565403655,3.296848578877237,3.2968485788899864,3.263907556533412
4.0,3.242192103619483,3.2785536404107094,3.27855364042275,3.2421921036292924
4.1,3.216286988906004,3.2565328019682793,3.2565328019865345,3.2162869889037067
4.2,3.1864990139615217,3.2306002806957754,3.230600280711668,3.186499013952681
4.3,3.1530727606683255,3.2006551856281567,3.2006551856302314,3.1530727606593203
4.4,3.1162161074895183,3.1666487228875835,3.1666487229025795,3.1162161074804646
4.5,3.0761047479512422,3.1285854115421987,3.1285854115524296,3.076104747943111
4.6,3.033155554175173,3.0862060748500064,3.086206074858019,3.033155554168034
4.7,2.9870707743672313,3.0400507473567653,3.04005074736151,2.987070774374916
4.8,2.938010388397979,2.990128162079426,2.9901281620860036,2.9380103883938378
4.9,2.886118035529404,2.9364872060898515,2.936487206095532,2.886118035527414
5.0,2.831513038992608,2.8791775188221864,2.8791775192402116,2.8315130390147982
5.1,2.7742731694881297,2.818247531143562,2.818247531126518,2.774273169513552
5.2,2.714457765089996,2.7537790648184957,2.7537790648109852,2.7144577651008124
5.3,2.652083912270476,2.68585497591058,2.6858549759051153,2.6520839122791395
5.4,2.5871325528549542,2.6145553958241425,2.6145553958194836,2.5871325528642712
5.5,2.5195389633981073,2.539955037923363,2.5399550379247895,2.5195389634042287
5.6,2.4491982761030897,2.46215764175804,2.4621576417605873,2.4491982761073725
5.7,2.375959705378211,2.3812510659715636,2.3812510659621724,2.3759597053896173
5.8,2.2996196628068835,2.2973410112298467,2.2973410112230828,2.2996196628166876
5.9,2.219933307345777,2.2105437281481164,2.2105437281416824,2.219933307354693
6.0,2.1366137825877405,2.120985782324201,2.120985782318888,2.136613782596568
6.1,2.0493398185952687,2.028801950785777,2.028801950781123,2.0493398186029927
6.2,1.957764438973984,1.9341372536319006,1.9341372536295143,1.9577644389764421
6.3,1.8615444918919148,1.837124693928791,1.837124693924541,1.8615444918952153
6.4,1.7604196830957213,1.7377899377271888,1.737789937725246,1.7604196830975458
6.5,1.653966053731358,1.6363151828176141,1.6363151828155167,1.6539660537330567
6.6,1.5420621600733764,1.5325247298782476,1.5325247298879097,1.5420621600706066
6.7,1.4242415584433248,1.4265844731688055,1.4265844731666513,1.4242415584450518
6.8,1.3198095211129768,1.3365715022292233,1.3365715022274447,1.3198095211153595
